Date,Open,High,Low,Close,Adj Close,Volume
2019-03-04,135000,139500,134000,138000,138000,743644
2019-03-05,140000,140000,135000,135500,135500,387063
2019-03-06,136500,139000,134500,137500,137500,403724
2019-03-07,139500,139500,136500,138500,138500,254573
2019-03-08,135500,136000,131500,133000,133000,304114
2019-03-11,131500,133500,131000,133500,133500,151479
2019-03-12,135000,135500,129500,130500,130500,367651
2019-03-13,129500,132000,128000,130500,130500,268047
2019-03-14,132500,133500,129000,131000,131000,554454
2019-03-15,131000,132000,129500,130500,130500,907507
2019-03-18,131500,133500,131000,132000,132000,248810
2019-03-19,132000,132500,130000,130500,130500,200830
2019-03-20,130000,131000,126500,128500,128500,371499
2019-03-21,128500,131000,127000,128000,128000,399492
2019-03-22,127000,129500,126000,127000,127000,379311
2019-03-25,126000,128000,125000,126000,126000,279179
2019-03-26,125500,127000,125000,126500,126500,452377
2019-03-27,126000,126000,122000,123000,123000,429156
2019-03-28,122500,123000,120500,122000,122000,449545
2019-03-29,121500,124500,121500,124000,124000,421477
2019-04-01,124000,125500,123500,124000,124000,367014
2019-04-02,124500,125500,123500,124500,124500,471744
2019-04-03,123000,123500,121000,122000,122000,958364
2019-04-04,122500,123500,121500,122500,122500,361821
2019-04-05,122500,123500,122000,123000,123000,365838
2019-04-08,122500,123000,121000,121500,121500,393376
2019-04-09,121500,122500,121000,121500,121500,423498
2019-04-10,121500,122500,121000,122000,122000,459206
2019-04-11,121500,123000,121000,121500,121500,615217
2019-04-12,121500,122000,119500,119500,119500,953216
2019-04-15,119000,120000,118000,119500,119500,596131
2019-04-16,119500,120500,119000,119500,119500,973625
2019-04-17,120000,120000,119000,119500,119500,639441
2019-04-18,119000,120000,117000,118000,118000,776721
2019-04-19,119000,119000,117500,118000,118000,247009
2019-04-22,118000,119500,117500,118000,118000,531346
2019-04-23,119000,121000,119000,120500,120500,815629
2019-04-24,122000,122500,119500,121000,121000,906235
2019-04-25,122000,122000,120000,120500,120500,720472
2019-04-26,120000,120500,117500,118000,118000,544042
2019-04-29,118500,120000,117000,120000,120000,429353
2019-04-30,119000,120000,117500,119500,119500,569162
2019-05-02,119000,124000,118500,122000,122000,691901
2019-05-03,122000,124500,121500,124000,124000,705503
2019-05-07,122000,125500,121500,124000,124000,696627
2019-05-08,122000,124000,122000,123500,123500,317483
2019-05-09,122500,124000,119000,119000,119000,799208
2019-05-10,120500,123000,120000,122500,122500,474352
2019-05-13,121500,124000,121500,122500,122500,343827
2019-05-14,121000,123500,119500,122000,122000,532037
2019-05-15,121500,123000,120000,120000,120000,460936
2019-05-16,120500,121000,118000,119000,119000,484468
2019-05-17,120000,123500,118500,121000,121000,439545
2019-05-20,121500,121500,118000,118500,118500,449916
2019-05-21,117500,119500,113500,114500,114500,603105
2019-05-22,115000,115000,111000,113000,113000,567069
2019-05-23,112500,114000,110000,113000,113000,545497
2019-05-24,113000,115000,112500,113500,113500,408081
2019-05-27,112500,113000,109500,110500,110500,369902
2019-05-28,109500,112500,108500,108500,108500,1490526
2019-05-29,109000,111000,108500,109500,109500,515196
2019-05-30,110000,114000,109500,112000,112000,378379
2019-05-31,111500,112500,110000,111500,111500,310649
2019-06-03,113000,115000,112000,115000,115000,391824
2019-06-04,114000,114500,110500,111000,111000,531826
2019-06-05,112000,112500,109500,110500,110500,471689
2019-06-07,110000,112000,110000,111000,111000,386800
2019-06-10,111500,114500,111000,114000,114000,464590
2019-06-11,114000,114500,112500,113000,113000,423258
2019-06-12,112000,114500,112000,114000,114000,354664
2019-06-13,114500,115500,112000,113000,113000,551067
2019-06-14,112000,113000,110500,111500,111500,553083
2019-06-17,111500,111500,110000,110500,110500,475346
2019-06-18,109500,110000,106500,109000,109000,791946
2019-06-19,110000,110000,107000,110000,110000,483689
2019-06-20,110000,112000,109000,111500,111500,282163
2019-06-21,112500,115000,111500,113000,113000,555965
2019-06-24,113000,113500,112000,113500,113500,254210
2019-06-25,114000,116000,113000,114500,114500,473961
2019-06-26,114500,116500,114000,115500,115500,300077
2019-06-27,115500,116000,113000,115000,115000,375582
2019-06-28,114500,115500,112500,114000,114000,267404
2019-07-01,114500,115500,114000,114500,114500,306736
2019-07-02,114000,115500,112000,115000,115000,273980
2019-07-03,116000,118500,115000,117500,117500,408701
2019-07-04,116000,119500,116000,118000,118000,355658
2019-07-05,118500,121500,118500,121000,121000,409700
2019-07-08,120500,121000,118000,118500,118500,306897
2019-07-09,118000,120000,115000,115500,115500,460058
2019-07-10,116500,119000,115500,115500,115500,267438
2019-07-11,115500,118000,115500,117000,117000,293389
2019-07-12,117000,118500,116500,117000,117000,160685
2019-07-15,118000,120000,116500,118000,118000,263893
2019-07-16,119000,120500,117500,120000,120000,391260
2019-07-17,120000,120000,118000,119000,119000,205316
2019-07-18,118500,122000,118500,120500,120500,267715
2019-07-19,121000,123000,121000,122500,122500,445122
2019-07-22,122000,122500,120500,121000,121000,346897
2019-07-23,122500,123000,122000,122500,122500,358255
2019-07-24,122500,124500,122500,123500,123500,606769
2019-07-25,125500,134500,125000,134000,134000,1635774
2019-07-26,137500,142000,136500,141000,141000,1440686
2019-07-29,139500,141000,137000,138500,138500,583629
2019-07-30,140000,140500,136500,138500,138500,364674
2019-07-31,139000,139500,136000,138000,138000,361525
2019-08-01,139500,141500,138500,140500,140500,460049
2019-08-02,139000,142500,138500,142000,142000,484009
2019-08-05,141000,142000,135500,138000,138000,733982
2019-08-06,134000,140000,132000,138500,138500,610095
2019-08-07,139000,139500,136000,137500,137500,336416
2019-08-08,139500,142000,136500,140000,140000,496443
2019-08-09,142000,145000,140500,142500,142500,368133
2019-08-12,142500,144500,140500,140500,140500,217292
2019-08-13,139000,144500,138500,142500,142500,352863
2019-08-14,142500,143000,138500,139000,139000,433070
2019-08-16,138500,140500,137500,139500,139500,351686
2019-08-19,139000,141000,138000,139000,139000,487500
2019-08-20,139000,145500,139000,145500,145500,556246
2019-08-21,144500,148500,142500,147500,147500,514109
2019-08-22,148000,150500,147500,148000,148000,499537
2019-08-23,149000,149000,145500,148500,148500,491690
2019-08-26,145500,147000,143000,143500,143500,423695
2019-08-27,144000,147500,141500,146500,146500,904199
2019-08-28,146500,147500,144500,146500,146500,309159
2019-08-29,146500,146500,143500,145000,145000,408164
2019-08-30,146000,149000,144500,146500,146500,424498
2019-09-02,156000,156000,147500,150000,150000,371788
2019-09-03,151500,151500,149000,150500,150500,308863
2019-09-04,149500,151000,149000,151000,151000,351494
2019-09-05,150000,151000,145000,147000,147000,548033
2019-09-06,146000,150000,145500,149500,149500,223250
2019-09-09,149500,154000,148500,153000,153000,464232
2019-09-10,153000,153000,150000,150500,150500,297053
2019-09-11,150500,154000,150000,153500,153500,738431
2019-09-16,154500,156500,153500,154500,154500,449618
2019-09-17,153000,155500,153000,155000,155000,304106
2019-09-18,156000,159500,155500,159000,159000,465208
2019-09-19,157000,158000,156000,157500,157500,377446
2019-09-20,156000,158000,156000,157000,157000,390181
2019-09-23,157500,158000,155500,157000,157000,204570
2019-09-24,157000,158500,155500,158000,158000,195994
2019-09-25,155500,159000,155500,158000,158000,274586
2019-09-26,157500,159000,156500,158000,158000,313084
2019-09-27,158500,158500,154500,156000,156000,241249
2019-09-30,155000,157500,154500,157000,157000,313910
2019-10-01,157500,160000,157000,160000,160000,260668
2019-10-02,159000,160000,156500,157000,157000,203708
2019-10-04,155500,159000,148500,150500,150500,602642
2019-10-07,150500,153500,150000,153000,153000,387749
2019-10-08,154500,154500,151500,153500,153500,250805
2019-10-10,151500,155500,150500,153500,153500,404228
2019-10-11,156500,157000,153500,156000,156000,216730
2019-10-14,156000,156500,153500,156000,156000,246407
2019-10-15,156500,156500,150500,151500,151500,297569
2019-10-16,151500,155000,151000,154500,154500,280882
2019-10-17,155000,156500,152000,153000,153000,280276
